state,model,subscription,price
Ohio,HP Laserjet Enterprise M554,9 months of Instant Ink,137.14684
Louisiana,hp color LaserJet 5550,6 months of Instant Ink,121.06176
Nevada,HP Laserjet Enterprise M554,3 months of Instant Ink,121.962036
New York,HP LaserJet 700 M712,9 months of Instant Ink,108.20615
North Carolina,HP LaserJet 600 M602,no free month,109.93226
Minnesota,HP Color LaserJet M555x,3 months of Instant Ink,58.9359
Michigan,HP LaserJet 5200,3 months of Instant Ink,78.98273
Colorado,HP LaserJet 5200,9 months of Instant Ink,51.58498
North Dakota,HP LaserJet M806X,6 months of Instant Ink,123.67672
Louisiana,HP Laserjet M611dn,no free month,118.68936
Wyoming,HP Laserjet M611dn,3 months of Instant Ink,173.74174
Utah,hp color LaserJet 5550,6 months of Instant Ink,168.76358
Indiana,hp color LaserJet 5550,6 months of Instant Ink,112.81142
Minnesota,HP LaserJet P4015,no free month,111.29673
Maryland,HP LaserJet M610,3 months of Instant Ink,91.31115
Iowa,HP LaserJet M607,no free month,80.64587
Oregon,HP LaserJet 5200,9 months of Instant Ink,113.03553
Maryland,HP Color LaserJet M555x,6 months of Instant Ink,54.02788
South Carolina,HP Laserjet M551,no free month,155.53355
Vermont,HP ColorLaserJet 255dw,6 months of Instant Ink,120.91923
Iowa,HP Color LaserJet CP4520 Series,9 months of Instant Ink,36.885017
Delaware,HP LaserJet M806,9 months of Instant Ink,73.69409
Virginia,HP Color LaserJet CP5520 Series,6 months of Instant Ink,107.59995
South Dakota,HP LaserJet 600 M602,3 months of Instant Ink,122.836075
New York,HP Laserjet M551,3 months of Instant Ink,137.28745
Montana,HP Designjet Z6 (Large Format),6 months of Instant Ink,83.30822
Hawaii,HP Laserjet M611dn,9 months of Instant Ink,103.05842
Nevada,HP Color LaserJet CP5225n,6 months of Instant Ink,65.88646
Arizona,hp LaserJet 4350,9 months of Instant Ink,90.68659
Maine,HP LaserJet M806,9 months of Instant Ink,94.7563
California,HP Laserjet M501dn,no free month,87.85152
Michigan,HP Laserjet M501dn,9 months of Instant Ink,119.40519
Connecticut,HP LaserJet M806X,3 months of Instant Ink,71.513794
Vermont,HP LaserJet 600 M601,no free month,134.29674
West Virginia,HP Laserjet M501dn,3 months of Instant Ink,164.72435
Wisconsin,HP ColorLaserJet 255dw,no free month,133.04646
Hawaii,HP LaserJet M607,6 months of Instant Ink,70.73008
South Carolina,HP LaserJet 700 M712,9 months of Instant Ink,125.635635
Oklahoma,HP LaserJet M806X,9 months of Instant Ink,128.53122
Missouri,HP Laserjet M551,6 months of Instant Ink,126.22247
Ohio,HP LaserJet 700 M712,3 months of Instant Ink,112.08348
Wyoming,HP Color LaserJet CP4520 Series,no free month,116.202995
Texas,HP Color LaserJet M555x,9 months of Instant Ink,106.21885
Alaska,HP LaserJet M610,no free month,61.4294
New Mexico,HP Color LaserJet CP4520 Series,no free month,74.00408
Minnesota,HP LaserJet 600 M602,no free month,89.50917
Alabama,HP Color Laserjet M751,6 months of Instant Ink,19.696037
Wyoming,HP LaserJet M609,9 months of Instant Ink,151.58559
Maryland,HP LaserJet M607,6 months of Instant Ink,86.99098
Kentucky,HP ColorLaserjet Pro MFP 4301FDW,3 months of Instant Ink,61.68666
Virginia,HP Color LaserJet CP5225n,3 months of Instant Ink,104.13705
Alabama,HP Color LaserJet CP5520 Series,9 months of Instant Ink,11.482906
Kansas,HP Color LaserJet CP4520 Series,3 months of Instant Ink,35.84059
Vermont,HP Color LaserJet CP4520 Series,6 months of Instant Ink,101.84892
Arkansas,HP Designjet Z6 (Large Format),9 months of Instant Ink,42.550266
Texas,HP LaserJet 600 M601,3 months of Instant Ink,125.0696
Kentucky,hp color LaserJet 5550,3 months of Instant Ink,117.58933
North Dakota,HP Laserjet M611dn,9 months of Instant Ink,146.03545
West Virginia,HP Designjet Z6 (Large Format),6 months of Instant Ink,131.51324
South Carolina,HP LaserJet M806X,no free month,137.45412
Washington,HP Color LaserJet M555x,no free month,116.72484
Pennsylvania,hp color LaserJet 5550,3 months of Instant Ink,156.38614
Hawaii,HP Color LaserJet CP5520 Series,3 months of Instant Ink,28.592915
California,HP LaserJet P4015,no free month,77.314674
Nebraska,HP LaserJet Pro 4001dn,no free month,121.048294
Maine,HP Laserjet M611dn,no free month,120.7946
Minnesota,HP LaserJet Pro 4001dn,no free month,114.06616
Iowa,HP LaserJet M610,6 months of Instant Ink,83.75476
Montana,HP Color LaserJet CP4520 Series,no free month,62.9153
Idaho,HP LaserJet 5200,3 months of Instant Ink,60.6603
Alaska,HP Color Laserjet M751,9 months of Instant Ink,23.302658
Tennessee,HP Color Laserjet Pro MFP 4301,9 months of Instant Ink,109.99464
Illinois,HP LaserJet P3010 Series,no free month,90.36453
Washington,hp LaserJet 4350,6 months of Instant Ink,171.7949
Arizona,HP LaserJet 600 M602,6 months of Instant Ink,49.60403
Alabama,HP ColorLaserJet 255dw,no free month,33.418785
Louisiana,HP Laserjet M551,9 months of Instant Ink,114.917496
Arkansas,HP Color LaserJet CP5520 Series,3 months of Instant Ink,13.579842
Utah,HP Color LaserJet CP5225n,9 months of Instant Ink,103.00514
Hawaii,HP Designjet Z6 (Large Format),no free month,57.132812
Wyoming,HP ColorLaserjet Pro MFP 4301FDW,no free month,137.24629
Pennsylvania,HP LaserJet P4015,6 months of Instant Ink,136.46408
West Virginia,HP Laserjet M611dn,6 months of Instant Ink,171.05621
South Carolina,HP ColorLaserjet Pro MFP 4301FDW,6 months of Instant Ink,111.953094
Arkansas,HP Laserjet M611dn,no free month,91.337105
West Virginia,HP LaserJet Pro 4001dn,6 months of Instant Ink,158.51627
Idaho,hp color LaserJet 5550,9 months of Instant Ink,110.245224
Wyoming,HP LaserJet P4015,9 months of Instant Ink,161.91112
Montana,HP ColorLaserjet Pro MFP 4301FDW,6 months of Instant Ink,81.22899
Colorado,HP ColorLaserJet 255dw,3 months of Instant Ink,38.455532
Arizona,HP LaserJet M806,no free month,65.84642
Colorado,HP LaserJet Pro 4001dn,6 months of Instant Ink,78.92493
North Dakota,HP Color Laserjet Pro MFP m479fdw ,6 months of Instant Ink,94.77607
Alabama,HP LaserJet M607,9 months of Instant Ink,52.878147
North Carolina,HP Color LaserJet M611X,9 months of Instant Ink,86.234634
Massachusetts,HP LaserJet M607,6 months of Instant Ink,88.79858
New Jersey,HP Color LaserJet M611X,no free month,81.3266
Texas,HP Color Laserjet Pro MFP m479fdw ,9 months of Instant Ink,116.2
Arkansas,HP LaserJet M806X,9 months of Instant Ink,68.72763
Oklahoma,HP Color LaserJet CP5520 Series,9 months of Instant Ink,87.0762
Connecticut,HP Color LaserJet M555dn,9 months of Instant Ink,25.333368
Washington,HP Laserjet Enterprise M554,6 months of Instant Ink,158.76598
Mississippi,HP LaserJet M609,3 months of Instant Ink,95.865555
Louisiana,HP Color Laserjet Pro MFP m479fdw ,3 months of Instant Ink,58.391777
Illinois,HP LaserJet 500 color M551,6 months of Instant Ink,60.860146
Colorado,HP Color Laserjet M751,3 months of Instant Ink,27.97914
Kansas,hp LaserJet 4350,3 months of Instant Ink,112.93857
Montana,HP Color Laserjet Pro MFP 4301,3 months of Instant Ink,71.53544
Georgia,HP Color LaserJet CP5225n,6 months of Instant Ink,26.068033
Wyoming,HP Laserjet Enterprise M554,9 months of Instant Ink,166.1948
Texas,HP Color LaserJet CP5520 Series,3 months of Instant Ink,99.29478
Maryland,HP Laserjet Enterprise M554,3 months of Instant Ink,107.927765
Pennsylvania,HP Color Laserjet Pro MFP m479fdw ,6 months of Instant Ink,103.5534
Maine,HP LaserJet 600 M602,no free month,82.135994
North Dakota,HP Color Laserjet M751,no free month,92.10946
Nevada,HP Color LaserJet M555dn,3 months of Instant Ink,67.89497
Delaware,HP LaserJet P3010 Series,3 months of Instant Ink,76.09233
Oregon,HP LaserJet M610,no free month,126.77059
Virginia,HP Color LaserJet CP4520 Series,no free month,107.3175
Tennessee,HP Color Laserjet Pro MFP 4301,no free month,111.6696
Maryland,HP Color LaserJet M555x,no free month,57.377808
Rhode Island,hp LaserJet 4350,9 months of Instant Ink,157.87955
Iowa,HP Laserjet M425dn,9 months of Instant Ink,103.38775
Tennessee,HP LaserJet 600 M601,6 months of Instant Ink,124.34792
Texas,HP LaserJet 600 M602,no free month,131.90324
Virginia,HP Color LaserJet M555dn,no free month,112.69792
Wisconsin,HP Color Laserjet Pro MFP 4301,6 months of Instant Ink,123.679985
North Carolina,HP Color LaserJet M555dn,9 months of Instant Ink,82.23213
Missouri,HP Laserjet Enterprise M554,3 months of Instant Ink,116.69917
Tennessee,HP LaserJet M607,3 months of Instant Ink,129.27136
Texas,HP LaserJet M607,3 months of Instant Ink,131.42401
Tennessee,HP LaserJet M806X,3 months of Instant Ink,137.94139
Colorado,HP LaserJet 500 color M551,6 months of Instant Ink,47.513073
New Mexico,HP Color LaserJet CP5225n,9 months of Instant Ink,74.178276
Iowa,HP Color LaserJet M611X,no free month,48.41168
Illinois,HP Laserjet Enterprise M554,3 months of Instant Ink,93.89962
Illinois,HP Laserjet M501dn,no free month,103.22639
Connecticut,HP Color LaserJet CP5520 Series,6 months of Instant Ink,21.490562
Pennsylvania,HP LaserJet M806,3 months of Instant Ink,127.557495
New York,HP ColorLaserJet 255dw,no free month,95.74287
Hawaii,HP Color LaserJet CP5225n,9 months of Instant Ink,29.937326
Arkansas,HP ColorLaserJet 255dw,9 months of Instant Ink,37.368515
Mississippi,HP Laserjet M425dn,9 months of Instant Ink,120.14431
Delaware,HP Designjet Z6 (Large Format),6 months of Instant Ink,49.196392
Illinois,HP LaserJet 600 M602,9 months of Instant Ink,70.383446
Wisconsin,HP LaserJet M609,6 months of Instant Ink,147.88829
Utah,HP Color LaserJet CP4520 Series,6 months of Instant Ink,99.62888
Hawaii,HP Color Laserjet Pro MFP m479fdw ,3 months of Instant Ink,45.12256
Oklahoma,HP Color LaserJet CP5520 Series,3 months of Instant Ink,83.77982
Delaware,HP LaserJet M806,9 months of Instant Ink,73.69409
New Jersey,hp LaserJet 4350,3 months of Instant Ink,139.31775
Nebraska,HP Color Laserjet Pro MFP m479fdw ,3 months of Instant Ink,77.79646
Missouri,HP Laserjet Enterprise M554,no free month,120.34415
Maryland,HP LaserJet P4015,no free month,106.03388
Georgia,HP Color LaserJet CP5520 Series,no free month,31.616472
Maryland,HP Color LaserJet CP5225n,3 months of Instant Ink,46.49918
Maryland,HP Color LaserJet M555dn,no free month,55.372295
Louisiana,HP Color LaserJet M555x,no free month,52.98915
Colorado,HP Color Laserjet Pro MFP 4301,6 months of Instant Ink,31.963566
South Carolina,HP Color LaserJet CP5225n,no free month,95.77304
Alabama,HP Color LaserJet CP5225n,6 months of Instant Ink,7.0129476
Kentucky,HP LaserJet M806X,9 months of Instant Ink,94.017166
Delaware,HP Laserjet M425dn,3 months of Instant Ink,86.57808
Georgia,HP LaserJet 700 M712,9 months of Instant Ink,67.41729
Alabama,hp color LaserJet 5550,no free month,91.460556
Florida,HP Color LaserJet M611X,3 months of Instant Ink,30.864542
New Jersey,HP LaserJet Pro 4001dn,no free month,126.43126
Montana,HP Color LaserJet M555dn,no free month,68.53826
Idaho,HP Color Laserjet Pro MFP m479fdw ,no free month,51.025154
California,HP LaserJet 5200,no free month,51.276974
Arizona,HP Laserjet Enterprise M554,no free month,79.01747
